qx,qy,reference_mode,candidate_mode,reference_frequency_thz,candidate_frequency_thz,single_overlap_squared,subspace_dimension,subspace_minimum_overlap_squared,basis_dependent
0.16666666666666666,0.5,4,4,5.403235972325339,5.435338760119389,0.9977803783641325,1,0.9977803783641325,False
0.16666666666666666,0.5,5,5,5.796174692890461,5.824443010108464,0.9979275896195329,1,0.9979275896195329,False
0.16666666666666666,0.5,6,6,6.018964253176557,6.072291433654127,0.9973179405860569,1,0.9973179405860569,False
0.16666666666666666,0.5,7,7,8.004308036456804,7.966233245835907,0.8861077823316785,1,0.8861077823316785,False
0.16666666666666666,0.5,8,8,8.350403953732481,8.309144830272556,0.8832338049995871,1,0.8832338049995871,False
0.16666666666666666,0.5,9,9,8.796364217235336,8.456542609005723,0.9958543320008252,1,0.9958543320008252,False
0.16666666666666666,0.6666666666666666,1,1,2.2296170827377555,2.258064938407596,0.9996554145425857,1,0.9996554145425857,False
0.16666666666666666,0.6666666666666666,2,2,2.815484915113908,2.8616920572068154,0.9952472031688177,1,0.9952472031688177,False
0.16666666666666666,0.6666666666666666,3,3,3.7797839965911693,3.7681627305507504,0.9951778418498295,1,0.9951778418498297,False
0.16666666666666666,0.6666666666666666,4,4,5.0717468008661,5.121468752277662,0.9986720891650166,1,0.9986720891650166,False
0.16666666666666666,0.6666666666666666,5,5,5.708301594324895,5.737522450739989,0.9990261824668699,1,0.9990261824668704,False
0.16666666666666666,0.6666666666666666,6,6,6.126852213560888,6.241412446469075,0.9979588004099936,1,0.9979588004099936,False
0.16666666666666666,0.6666666666666666,7,7,8.1141410200518,8.058990055697958,0.9832281498719213,1,0.9832281498719215,False
0.16666666666666666,0.6666666666666666,8,8,8.37874072854929,8.289917608250853,0.9819813887415505,1,0.98198138874155,False
0.16666666666666666,0.6666666666666666,9,9,9.407111644603374,9.120916194306457,0.9997510515538948,1,0.9997510515538943,False
0.16666666666666666,0.8333333333333334,1,1,0.9802253457647293,1.0046772303720775,0.9998875416681555,1,0.9998875416681557,False
0.16666666666666666,0.8333333333333334,2,2,1.618747205103783,1.6557013576827762,0.9999003137328395,1,0.999900313732839,False
0.16666666666666666,0.8333333333333334,3,3,2.6519982790466248,2.6601496738947943,0.9998810135698322,1,0.9998810135698322,False
0.16666666666666666,0.8333333333333334,4,4,4.821123971085946,4.887984768248139,0.999977657061743,1,0.999977657061743,False
0.16666666666666666,0.8333333333333334,5,5,5.24914541200188,5.2940987985697054,0.999933270962904,1,0.999933270962904,False
0.16666666666666666,0.8333333333333334,6,6,6.6000569994631455,6.679063134894072,0.9994493400564152,1,0.9994493400564154,False
0.16666666666666666,0.8333333333333334,7,7,8.17708482112958,8.044768807656135,0.9999798992692867,1,0.9999798992692867,False
0.16666666666666666,0.8333333333333334,8,8,8.389673469838758,8.25793072878693,0.9994817112100742,1,0.9994817112100742,False
0.16666666666666666,0.8333333333333334,9,9,9.936317369424202,9.794572806964972,0.9999561339332745,1,0.9999561339332745,False
0.3333333333333333,0.0,1,1,2.742891835994525,2.725866293035491,0.9596815355433075,1,0.9596815355433075,False
0.3333333333333333,0.0,2,2,2.7550160372891055,2.7705486481569777,0.9596510036212875,1,0.9596510036212875,False
0.3333333333333333,0.0,3,3,4.203151346327659,4.241991343263721,0.995897347597977,1,0.995897347597977,False
0.3333333333333333,0.0,4,4,5.063489868514959,5.0818615790000425,0.9998533999649553,1,0.9998533999649555,False
0.3333333333333333,0.0,5,5,5.823659642939701,5.855349384283271,0.9999311305701734,1,0.9999311305701734,False
0.3333333333333333,0.0,6,6,6.113318272165747,6.189532766729523,0.9958055528720613,1,0.9958055528720613,False
0.3333333333333333,0.0,7,7,7.938537697678488,7.938013813285954,0.9995322497199833,1,0.9995322497199833,False
0.3333333333333333,0.0,8,8,8.444752257459102,8.389195104717604,0.9979648867996647,1,0.9979648867996642,False
0.3333333333333333,0.0,9,9,9.196832251379446,8.895467972174318,0.9994724489670526,1,0.9994724489670526,False
0.3333333333333333,0.16666666666666666,1,1,3.516640750181852,3.5187613153725352,0.9444947054464147,1,0.9444947054464147,False
0.3333333333333333,0.16666666666666666,2,2,3.61130143613593,3.533518908297175,0.9112647259490402,1,0.9112647259490397,False
0.3333333333333333,0.16666666666666666,3,3,4.143871281816184,4.233631792034748,0.9619877327094597,1,0.9619877327094597,False
0.3333333333333333,0.16666666666666666,4,4,5.403189887601283,5.43530647995395,0.9977877094754409,1,0.9977877094754409,False
0.3333333333333333,0.16666666666666666,5,5,5.796046841199345,5.824448442402444,0.9979280783510905,1,0.9979280783510905,False
0.3333333333333333,0.16666666666666666,6,6,6.01896015736852,6.0722793742598,0.9973143148279157,1,0.9973143148279157,False
0.3333333333333333,0.16666666666666666,7,7,8.004111507426886,7.9662331742276695,0.8861721209193779,1,0.8861721209193779,False
0.3333333333333333,0.16666666666666666,8,8,8.350411282125398,8.309079325588828,0.8833109703408671,1,0.8833109703408674,False
0.3333333333333333,0.16666666666666666,9,9,8.796421948645317,8.45654536051987,0.9958685127274389,1,0.9958685127274387,False
0.3333333333333333,0.3333333333333333,1,2,3.830480656929179,3.8657651278726157,0.9989508652861435,1,0.9989508652861431,False
0.3333333333333333,0.3333333333333333,2,1,3.9054228561763114,3.570262637769847,0.9993185037819244,1,0.9993185037819242,False
0.3333333333333333,0.3333333333333333,3,3,4.424108740861573,4.622976393353983,0.9998135221054212,1,0.9998135221054212,False
0.3333333333333333,0.3333333333333333,4,4,5.645051421848402,5.635766525145072,0.9999839484475093,1,0.9999839484475095,False
0.3333333333333333,0.3333333333333333,5,6,5.786236471670703,5.842378294777737,0.9999640146910498,2,0.9999524849698724,True
0.3333333333333333,0.3333333333333333,6,5,5.792448318078696,5.827204604841612,0.9999459074056045,2,0.9999524849698724,True
0.3333333333333333,0.3333333333333333,7,9,8.169150627413517,8.314486419245407,0.9997467840193001,2,0.9993251631723565,True
0.3333333333333333,0.3333333333333333,8,7,8.178939147202973,7.86978666827844,0.9992810152858094,2,0.9993251631723565,True
0.3333333333333333,0.3333333333333333,9,8,8.578196421929425,8.22392838595354,0.9989511495178331,1,0.9989511495178331,False
0.3333333333333333,0.5,1,1,3.5166409074921994,3.5187609626388627,0.9435963989669733,1,0.9435963989669733,False
0.3333333333333333,0.5,2,2,3.6112499318637923,3.5335078757818765,0.9103912247144027,1,0.9103912247144027,False
0.3333333333333333,0.5,3,3,4.143882162598253,4.23367772007083,0.9619820828573914,1,0.9619820828573916,False
0.3333333333333333,0.5,4,4,5.403248415695439,5.435380285923335,0.9977780189321314,1,0.9977780189321316,False
0.3333333333333333,0.5,5,5,5.796184458525114,5.824419811014092,0.9979190470781929,1,0.9979190470781927,False
