material,model,geometry,qx,qy,qe_mode,ml_mode,qe_frequency_thz,ml_frequency_thz,frequency_difference_thz,single_overlap_squared,qe_subspace_dimension,subspace_minimum_overlap_squared,gamma_point
mos2,tece,model_relaxed,0.0,0.8333333333333334,9,9,13.646043,13.029533438980579,-0.6165095610194218,0.9998269624411221,1,0.9998269624411223,False
mos2,tece,model_relaxed,0.16666666666666666,0.0,1,1,1.316821,1.3412821991748791,0.0244611991748791,0.999937950321703,1,0.999937950321703,False
mos2,tece,model_relaxed,0.16666666666666666,0.0,2,2,2.46387,2.3370630342278074,-0.12680696577219264,0.9999794804328381,1,0.9999794804328379,False
mos2,tece,model_relaxed,0.16666666666666666,0.0,3,3,3.91324,3.738234115740849,-0.17500588425915087,0.9998160566932714,1,0.9998160566932714,False
mos2,tece,model_relaxed,0.16666666666666666,0.0,4,4,8.866569,8.40826218496086,-0.4583068150391405,0.9999999989097377,1,0.9999999989097377,False
mos2,tece,model_relaxed,0.16666666666666666,0.0,5,5,9.343728,8.90909585949689,-0.43463214050311016,0.9997700797833159,1,0.9997700797833159,False
mos2,tece,model_relaxed,0.16666666666666666,0.0,6,6,11.291161,10.667379144618696,-0.6237818553813046,0.9875712793279253,1,0.9875712793279253,False
mos2,tece,model_relaxed,0.16666666666666666,0.0,7,7,11.656381,10.933522110174206,-0.7228588898257939,0.9999794542329509,1,0.9999794542329509,False
mos2,tece,model_relaxed,0.16666666666666666,0.0,8,8,12.464548,11.880359141149174,-0.5841888588508262,0.9874020065537841,1,0.9874020065537841,False
mos2,tece,model_relaxed,0.16666666666666666,0.0,9,9,13.646043,13.02956815291211,-0.6164748470878898,0.9998270451468256,1,0.9998270451468256,False
mos2,tece,model_relaxed,0.16666666666666666,0.16666666666666666,1,1,3.114432,3.07852018893568,-0.03591181106431973,0.9997542952643654,1,0.9997542952643654,False
mos2,tece,model_relaxed,0.16666666666666666,0.16666666666666666,2,2,4.285323,4.0534982429266035,-0.23182475707339645,0.9995876403778892,1,0.9995876403778892,False
mos2,tece,model_relaxed,0.16666666666666666,0.16666666666666666,3,3,5.673258,5.405281216696279,-0.26797678330372054,0.999273655794552,1,0.999273655794552,False
mos2,tece,model_relaxed,0.16666666666666666,0.16666666666666666,4,4,9.21832,8.703183151374136,-0.5151368486258647,0.9998356278630866,1,0.9998356278630866,False
