material,model,qe_pair,qe_phi122,qe_phi1122,qe_gamma_thz,qe_q_thz,legacy_to_unit_norm_scale,phi122,phi1122,stage1_gamma_thz,stage1_q_thz,stage2_gamma_thz,stage2_q_thz,fit_center_rmse_ev,fit_wide_rmse_ev,gamma_overlap2,q_overlap2,q_subspace_dimension,phi111,phi112,phi222,c10_ev,c01_ev,wide_phi122,wide_phi1122,energy_accumulation,grid_points,inference_seconds,grid_min_q1,grid_min_q2,phi122_error,phi122_relative_error_percent,phi1122_error
mos2,qe-ms,Gamma_p0_m8__K_q_0.333_0.333_0.000_m9,74.29895723998388,4.190064861633541,12.297423,12.075427,2.0000006674187167,64.83679619021412,,12.297423,12.075427,12.313214573099678,12.563336051988092,,0.002154693298319018,1.0,1.0,,,,,,,,,archived_original,,,,,-9.462161049769762,-12.735254169459209,
mos2,tece,Gamma_p0_m8__K_q_0.333_0.333_0.000_m9,74.29895723998388,4.190064861633541,12.297423,12.075427,2.0000006674187167,58.54470389229819,6.952713946907219,11.834048201388967,11.413731981531,11.763103199850015,11.782804287748714,0.00010212043790864829,0.0009254007540596895,0.9999999854169932,0.999043200878577,1,-61.8629455566361,-0.5623953683022385,-49.33738708495285,0.001123214903332911,0.00016385260082576347,60.87070949493881,5.391177654632595,atomic_float32_sum_float64_v2,81,6.6741044842638075,0.0,0.0,-15.75425334768569,-21.203868712181013,2.7626490852736776
mos2,prophet,Gamma_p0_m8__K_q_0.333_0.333_0.000_m9,74.29895723998388,4.190064861633541,12.297423,12.075427,2.0000006674187167,58.54372297014397,6.981674505739721,11.65598309212374,11.671506627865575,11.764300996947618,11.773588652369181,0.00010131275203049552,0.0009150650068766977,0.9999999567713265,0.9987187362891831,1,-61.950302124018826,-0.5620683942507929,-49.20692443846788,-0.0012696879250653562,0.00016625041053550967,60.83059613666834,5.384947468553724,atomic_float32_sum_float64_v2,81,6.808055593632162,0.0,0.0,-15.75523426983991,-21.205188948952372,2.79160964410618
mos2,equiformer-v3,Gamma_p0_m8__K_q_0.333_0.333_0.000_m9,74.29895723998388,4.190064861633541,12.297423,12.075427,2.0000006674187167,58.55178833007898,6.799191844706787,11.856160898077976,11.325376953751181,11.762912104433122,11.778129832975004,0.000101098082201537,0.0009179251169357263,0.9999999976956966,0.9981318142570039,1,61.702728271488965,-0.5629403250544778,-49.22409057616364,-0.0031749089558909182,0.00017214275541909153,60.88102899416542,5.335814824036833,atomic_float32_sum_float64_v2,81,7.074215468484908,0.0,0.0,-15.7471689099049,-21.194333668831874,2.6091269830732458
mos2,qe-ms,Gamma_p0_m8__line_q_0.333_0.667_0.000_m8,67.77577718712004,1.6407687933034638,12.297423,12.331607,2.0000006019226544,71.77038990368139,,12.297423,12.331607,12.313214573099678,12.818465607099133,,0.0009741559721010599,1.0,1.0,,,,,,,,,archived_original,,,,,3.994612716561349,5.893864861973839,
mos2,tece,Gamma_p0_m8__line_q_0.333_0.667_0.000_m8,67.77577718712004,1.6407687933034638,12.297423,12.331607,2.0000006019226544,62.73062569754354,3.0760473134568422,11.834048201388967,11.636890327020911,11.762250275911907,12.028553930824765,8.645071177591452e-06,0.0003570384566691086,0.9999999854169932,0.9992842450365532,1,-59.9380493164014,0.0009809221554248652,0.0015258789146632692,0.0007845787774958517,7.26609017768779e-08,61.80453293595289,2.421708633417563,atomic_float32_sum_float64_v2,81,7.334620668552816,0.0,0.0,-5.045151489576504,-7.443885852680822,1.4352785201533784
mos2,prophet,Gamma_p0_m8__line_q_0.333_0.667_0.000_m8,67.77577718712004,1.6407687933034638,12.297423,12.331607,2.0000006019226544,62.78163364955244,3.0617227359691634,11.65598309212374,11.85517399884979,11.76336243468503,12.023803236530847,8.51869468057847e-06,0.00036499585996826973,0.9999999567713265,0.9966298201327118,1,-60.003280639643485,0.00076293945464617,0.03890991211757916,-0.0016155129387255436,-4.386901853960919e-06,61.83208394016187,2.3779796608131565,atomic_float32_sum_float64_v2,81,7.196063872659579,0.0,0.0,-4.994143537567602,-7.368625997130842,1.4209539426656996
mos2,equiformer-v3,Gamma_p0_m8__line_q_0.333_0.667_0.000_m8,67.77577718712004,1.6407687933034638,12.297423,12.331607,2.0000006019226544,63.06424822126225,3.066082389987068,11.856160898077976,11.519141863706109,11.762674777584817,12.045329680392602,1.1260888803012397e-05,0.000371453780807427,0.9999999976956966,0.9969253544738197,1,59.75456237793445,-0.002070835657072548,-0.03471374510880299,-0.0028309163593100294,5.397342501727979e-06,62.07069614404907,2.3707268318982067,atomic_float32_sum_float64_v2,81,7.0067857226822525,0.0,0.0,-4.711528965857795,-6.951641370116466,1.4253135966836044
wse2,qe-ms,Gamma_p0_m8__M_q_0.500_0.000_0.000_m9,30.581270840938974,1.9043965254678332,7.545686,8.110738,0.999999858768053,31.161930587779793,,7.545686,8.110738,7.7459308592365295,8.453852157773992,,0.0010035949357094602,1.0,1.0,,,,,,,,,archived_original,,,,,0.5806597468408192,1.8987430243202756,
wse2,tece,Gamma_p0_m8__M_q_0.500_0.000_0.000_m9,30.581270840938974,1.9043965254678332,7.545686,8.110738,0.999999858768053,26.152474539620098,3.193446568080349,7.232128020653701,7.60478233047762,7.2267638960217155,7.80660126842513,1.3564756819989864e-05,0.0001309879168594725,0.9998445556971985,0.9995567074014559,1,-23.047256469724424,0.0015258789068248587,0.026321411136192536,-0.0019269330160954414,-4.053115844161996e-06,25.9621157790675,2.517178508063378,atomic_float32_sum_float64_v2,81,4.004941135877743,0.0,0.0,-4.428796301318876,-14.48205447168687,1.289050042612516
wse2,prophet,Gamma_p0_m8__M_q_0.500_0.000_0.000_m9,30.581270840938974,1.9043965254678332,7.545686,8.110738,0.999999858768053,26.13672528948149,3.13256711375956,7.176936976787001,7.648772521795463,7.226718622291465,7.792841581235309,1.3730550096093049e-05,0.00013210072805792218,0.9998024245764656,0.9963850365250293,2,23.084259033205186,0.0020163399838461103,-0.01869201659827584,0.00252680551438147,2.1820976626445125e-06,25.923987797328447,2.4917582736750097,atomic_float32_sum_float64_v2,81,5.988110885256901,0.0,0.0,-4.444545551457484,-14.533554130483013,1.2281705882917267
wse2,equiformer-v3,Gamma_p0_m8__M_q_0.500_0.000_0.000_m9,30.581270840938974,1.9043965254678332,7.545686,8.110738,0.999999858768053,25.945390973771925,3.129297373246298,7.23498420609477,7.604242289100417,7.2249416868345895,7.796358473748323,1.2382797714986604e-05,0.00012894720241434096,0.9998484200671498,0.9973775175440764,1,-23.08387756347458,-0.0008719308030588456,-0.008392333981154906,-0.0012800421033582535,1.8074398954981966e-06,25.745099550717818,2.493626589592762,atomic_float32_sum_float64_v2,81,5.06739218859002,0.0,0.0,-4.6358798671670485,-15.159212615065762,1.2249008477784649
wse2,qe-ms,Gamma_p0_m8__M_q_0.500_0.000_0.000_m8,27.767677293480986,,7.545686,7.915659,0.9999987809773,27.82938153290141,,7.545686,7.915659,7.7459308592365295,8.381789753623064,,0.0003465049551311205,1.0,1.0,,,,,,,,,archived_original,,,,,0.061704239420425466,0.22221606354850487,
